Restaurant Name,Ratings,Address,Contact Number
Punjabi Angithi,4.2,"Shop No 31 & 32, DDA Market, Rohini, Delhi - 110085, Sector 16","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-wx,mobilesv icon-ji,mobilesv icon-po,mobilesv icon-ji,mobilesv icon-ji"
Gyano Express,4.7,"Shop Number 190, Devli Road, Khanpur, Delhi - 110062, Infront Of Khazani Education Society","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-rq"
Food Forest Sweets & Restau..,4.0,"619/10, Main Road, Chattarpur, Delhi - 110074, Opposite Tivoli Garden","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-lk,mobilesv icon-nm,mobilesv icon-vu,mobilesv icon-rq,mobilesv icon-nm,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-vu"
Turban Tadkaa,4.6,"5-h/55, Nit 5, New Industrial Township 5-Faridabad NIT, Faridabad - 121001, Near Easy Day & Lenskart","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-lk,mobilesv icon-lk,mobilesv icon-acb,mobilesv icon-acb,mobilesv icon-lk,mobilesv icon-ts,mobilesv icon-lk,mobilesv icon-wx,mobilesv icon-lk,mobilesv icon-ts"
Wah Ji Wah Restaurant,3.7,"Shop No-306-7A/6, Opp. Government Girls School, Sadar Bazar, gurgaon - 122001, Sadar Bazar","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-ts,mobilesv icon-ba,mobilesv icon-ts,mobilesv icon-wx,mobilesv icon-nm,mobilesv icon-ts,mobilesv icon-ts,mobilesv icon-ts,mobilesv icon-vu"
Rao Hotel,4.8,"NH 8 , Nakhrola District , Sector 80 , Gurgaon, Sikandarpur Gurgaon, Gurgaon - 122004","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-lk,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-ts"
Mela Restaurant & Bar-Vikas..,3.7,"G-6, Community Center, Vikaspuri, Delhi - 110018, PVR Cinema","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-rq,mobilesv icon-ji,mobilesv icon-rq,mobilesv icon-rq"
24 Seven Kitchen,4.2,"B1/15, Rajouri Garden, Delhi - 110027, Janta Market","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-vu"
Vrindavan Sweets & Restaura..,4.2,"A-3, Main Suraj Kund Road, Pul Prahladpur, Delhi - 110044, Near Ramleela Ground","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-wx,mobilesv icon-po,mobilesv icon-vu,mobilesv icon-po,mobilesv icon-vu,mobilesv icon-ji,mobilesv icon-vu,mobilesv icon-po"
Desi Punjabi Dhaba,4.6,"WZ 963, Gurudwara Street, Rani Bagh, Delhi - 110034, Rani Bagh Main Bazar","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-yz,mobilesv icon-ts,mobilesv icon-ji"
Mehak Dhaba,4.0,"Shop No G-17/18, Malik Bulcom Plaza-2, Pocket-5, Dwarka Sector 12, Delhi - 110078, Near Km Chowk","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-lk,mobilesv icon-nm,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-acb,mobilesv icon-yz"
Oh My Gopala,4.1,"G-9, Marina Arcade , Outer Circle, Connaught Place, Delhi - 110001, Near Radison Blu,","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-yz,mobilesv icon-ji,mobilesv icon-lk,mobilesv icon-vu,mobilesv icon-wx,mobilesv icon-ts"
